Elsa Musik 1, https://open.spotify.com/album/3E20g5xQv0OcWTeRTTb91N?si=KpnuuROrQZ2hFSCjfw4p5w
Elsa Musik 2, https://open.spotify.com/album/5CP1NmBBc7h88ypESIJdqD?si=I8xliTPVQIGdChcEY-Y98w
Kasperli 1, https://open.spotify.com/album/3PAwFHPEYm5PDi9IfqC7WC?si=E_K1UNXyT5-bGNyBAxS_Zg
Kasperli 2, https://open.spotify.com/album/0VGqEmf8jbOIX0L5X8v8HD?si=S4fUkn5RRcqd72KgVnFdHw
Kasperli 3, https://open.spotify.com/album/5I2dpJn9x2dyrkkUsMTNTC?si=rSc-seduQle3uGe4FbvuAA
Kasperli 4, https://open.spotify.com/album/0UViEvD3ecSdPc8vAgHHEJ?si=d1ENzXi5R9u2RYeOiFgtiw
Die drei ???, https://open.spotify.com/album/7KEMmRYdYTyOkHaoocjwp7?si=75iDohWOSXCUivKvH70IgA
Gladiator, https://open.spotify.com/album/5XgEM5g3xWEwL4Zr6UjoLo?si=5qg8aK1iSNeyH-GKLzkkVQ
Paw Patrol, https://open.spotify.com/album/6Wp3XmMkP9ffOcBWGigYJm?si=QWvgm10jQRyrVQKvXuWHfg
Füürwehr, https://open.spotify.com/album/2ly5SxkIcCwjU0kZ4kopGB?si=E5yCxTtoQQ2c6C4TiU7FMQ
I singe vo der Sunne, https://open.spotify.com/album/0pJhzsPjhUeK0sBzLmOWjZ?si=yloBlcxRQRiNhFJ8eIHcNw
Nilo Samichlaus, https://open.spotify.com/album/27iN3rMJTIeqF2lYOrt6xP?si=PDrDvIZRTaiRQXrCzN4-hg
Nilo Mammut, https://open.spotify.com/album/1sdiMMpK0WTyzqbWqqMzdu?si=-UjCgIquRkWl99JCTjJuMg
Zauberorgel, https://open.spotify.com/album/7oPhc9BfEcw8zuyd8F0QDn?si=khQ6YrwuTUWpBh-Tu9nAuA